timestamp,temperature,pressure,humidity,particleCount
2024-10-18T10:39:57.536Z,27.87,1011.17,74.17,817
2024-10-22T01:07:57.536Z,29.45,1001.6,76.58,994
2024-10-22T01:14:57.536Z,22.95,983.94,63.13,592
2024-10-22T19:57:57.536Z,25.59,984.98,70.37,517
2024-10-24T15:19:57.536Z,26.8,984.6,75.66,256
2024-10-24T23:02:57.536Z,26.92,992.21,72.77,949
2024-10-25T07:05:57.536Z,24.5,1016.8,62.21,398
2024-10-25T08:38:57.536Z,28.71,986.62,59.05,664
2024-10-25T11:18:57.536Z,26.65,1009.39,44.07,189
2024-10-26T14:03:57.536Z,26.12,1012.5,52.4,161
2024-10-27T09:50:57.536Z,27.62,1015.56,46.31,454
2024-10-30T01:55:57.536Z,28.21,993.04,79.14,106
2024-10-30T15:36:57.536Z,25.12,1006.49,62.04,609
2024-10-31T15:09:57.536Z,24.7,984.08,39.28,764
2024-11-01T22:26:57.536Z,20.45,1000.87,62.33,443
2024-11-05T22:48:57.536Z,29.96,981.38,79.69,853
2024-11-10T02:44:57.536Z,25.76,1018.72,54.42,864
2024-11-11T19:15:57.536Z,28.93,1009.94,75.98,288
2024-11-12T22:31:57.536Z,20.14,992.89,41.47,743
2024-11-14T11:46:57.536Z,29.52,1015.85,78.37,914
2024-11-15T06:37:57.536Z,26.04,1011.16,51.97,658
